출원번호,초록,메인 ipc코드,서브 ipc코드1,서브 ipc코드2,메인 ipc코드
1.01998E+12,"물류관리 시스템 및 그 제어방법에 대해 개시하고 있다. 본 발명에 의한 물류관리 시스템에서는, 물류관리를 지시 및 통제하는 중앙감시국에서 물류관리 정보가 저장된 기록매체를 운송자에게 지급하여 중앙감시국의 지시 및 통제에 의해 물류를 수행한다. 본 발명에 의한 물류관리 시스템의 제어방법에는, 운송자의 신원확인, 중앙감시국의 원격 지령 전송 및 확인, 운송수단의 위치파악 및 유도안내 등에 대한 제어방법이 포함된다. 본 발명에 따르면, 기록매체를 통해 물류관리가 이루어짐으로써 운송자의 운행상황을 체계적으로 관리할 수 있고, 기록매체를 통한 데이터 베이스화가 가능하여 효율적인 물류관리를 수행할 수 있는 장점이 있다.",G06K,,,G06K
1.01998E+12,"본 발명은 크레인, 대차, 지게차 및 차량 등의 물류기기를 제어 관리하는 시스템에 관한 것으로서, 야드에서 사용되는 물류기기들의 위치를 추적 관리하고 그 동작을 제어하기 위한 물류관리 제어시스템에 있어서, 물류관리를 위한 정보를 제공하는 지상국 제어부; 상기 지상국 제어부의 정보를 송신하거나 또는 이동국에서 전송된 정보를 수신하는 기지국; 상기 지상국 제어부로부터의 정보에 따라 상기 물류기기들을 제어하며, 상기 물류기기들의 동작 결과에 대한 정보를 생성하는 물류기기 제어부; 상기 물류기기 제어부의 정보를 상기 기지국으로 송신하거나 상기 기지국에서 송신된 정보를 수신하는 이동국을 포함하며, 상기 기지국과 이동국은 전파무선 송수신방식에 의하여 통신함을 특징으로 하여, 물류관리 정보 및 물류기기의 정보 등을 무선방식에 의하여 기지국과 이동국 간에 통신하여 물류 스케듈링을 하고, 그에 따라 물류기기들 간의 작업지시를 효율적으로 수행하여 원하는 물류작업을 할 수 있다.",G06Q,,,G06Q
1.01997E+12,"물류 배송 관리에서 각 점포 및 체인점 등의 발주 요구에 따라 해당하는 상품을 배송함에 있어 발주 요구한 점포 및 체인점 등의 좌표화한 지역별 위치를 경도로 분할하여 섹터로 구분하며, 배송되는 물동량의 체적을 데이터 베이스화하여 유통되는 상품의 적재량, 배송 시간대, 이동시간 및 하역시간등이 반영된 최적의 배송루트를 설정하여 배송의 효율성을 제공하도록 한 것으로, 센터에서 취급하는 상품의 각각에 대하여 체적화하여 시스템 단말기에 저장하며, 배송에 투입되는 차량의 대수와 차량별 적재율, 도로망에 대한 정보, 점포 관련정보 등을 기초 자료로 설정하는 과정과, 기초 자료가 설정되어 있는 상태에서 각각의 점포에서 요구되어지는 발주량의 정보를 실시간적으로 수신 분석한 다음 일별, 요일별, 주간별, 월간별 물동량의 평준화를 실행하는 과정과, 평준화후 센터별 점포수와 배송 차량의 대수 및 배송 차량의 적재율, 점착시간 등을 고려하여 배송군을 설정한 다음 도로망을 고려한 경도를 기준으로 배송군의 배송 섹터를 설정하는 과정과, 배송 섹터 설정이 완료되면 위도와 경도를 기준으로 하는 좌표를 통해 점간 거리와 시간대별 주행시간, 점간 이동시간, 하역시간 등을 고려한 배송시간을 설정하여 배송 루트를 설정하는 과정과, 배송 루트의 설정이 완료되면 해당 루트로 해당 차량을 운송시켜 발주를 요구한 상품의 배송을 실행하는 과정을 포함하는 것을 특징으로 한다.",G06Q,,,G01S
1.01999E+12,"이 발명은 이동 통신망을 이용한 물류 운송 시스템 및 그 방법을 개시한다. 고객이 전화망을 통하여 물류 운송을 주문하면 CTI 장치가 해당 주문 내역을 중앙 처리 서버로 제공하고, 고객이 인터넷을 통하여 물류 운송을 주문하면 중앙 처리 서버가 접수한다. 다음에 중앙 처리 서버는 GIS 서버로 물류 운송을 수행하는 운송 담당자의 위치 정보를 요구하고, GIS 서버는 이동 통신망으로부터 운송 담당자의 위치 정보를 전송 받아서 해당하는 위치 데이터로 변환 처리한 후에 중앙 처리 서버로 제공한다. 이 때, 이동 통신망은 운송 담당자의 이동 통신 단말기로부터 송신되는 신호를 수신하여 운송 담당자의 위치 정보를 GIS 서버로 전송한다. 다음에, 중앙 처리 서버는 GIS 서버로부터 제공되는 위치 담당자의 위치 데이터를 토대로 하여 특정 주문을 수행하기 위한 최적의 운송 담당자를 설정한 후, CTI 장치를 제어하여 해당 운송 담당자에게 주문 내역을 제공한다. 이와 같이 이동 통신망으로부터 제공되는 위치 정보에 따라 물류를 픽업하는 픽업지에 가장 가까운 곳에 위치한 운송 담당자를 용이하게 파악할 수 있으므로 신속한 물류 운송이 이루어진다. 인터넷, 이동통신망, 물류운송, 위치추적",G01S,,,G16C
1.02007E+12,"본 발명은 제조사에서 출시되어 물류사의 물류센터를 거쳐 유통사에 배송되는 물류의 전체 유통과정을 무선인식 기술(RFID, Radio Frequency Identification)을 기반으로 추적 관리하는 시스템에서의 물류 데이터 셋 및 이를 이용한 상품 유통과정 추적방법에 관한 것으로서, 제조사, 물류사, 유통사가 물류관련 데이터의 용어 및 용어에 따른 의미와 형식 등을 표준화시키기 위한 것이다. 이를 위하여 본 발명은, 제조사, 물류사 또는 유통사로부터 상품 제조 및 출시 시점에 기 설정되어 등록된 물류처리정보를 포함하는 마스터 데이터저장부(10)와; 물류사에 의해 물류를 실제 유통하는 과정에서 설정되는 물류정보를 포함하는 물류이력 데이터저장부(20) 및 추적 데이터저장부(30)를 포함하는 무선인식기술 기반의 물류 데이터 셋 및 이를 이용한 상품 유통과정 추적방법을 제공하여, 3자 물류 산업에서 공통적으로 필요한 물류관련 데이터가 표준화됨으로서, 제조사, 물류사, 유통사 간의 표준화된 데이터 셋을 통한 전체 물류과정의 일관된 추적 및 관리가 용이하게 되며, 그로 인해 물류정보의 신속 정확한 공유가 가능해지고 관련 정보시스템 운영비용 감소 및 공급 사슬 내 구성 주체들의 이익을 증가시킬 수 있게 된다. 물류, 유통, 표준, 데이터, 공유 ",G16C,,,G01G
1.02014E+12,"물류 식별 코드 관리 장치 및 방법이 개시된다.  본 발명에 따른 물류 식별 코드 관리 장치는, 패킹 수량 정보 및 패킹 기준 정보가 포함된 패킹 정보 식별 코드를 식별하는 패킹 정보 입력부; 상기 패킹 기준에 기반하여 패킹 대상으로 판단된 물품들의 일련 번호가 상기 패킹 수량만큼 수집된 경우, 패키지 일련 번호를 포함하는 물류 식별 코드를 발급 요청하는 물류 식별 코드 요청부; 및 발급된 상기 물류 식별 코드를 식별하고, 상기 물류 식별 코드가 기설정된 기준 규격에 해당하는지 검증하는 식별 코드 검증부를 포함한다.",G01G,,,G05D
1.01996E+12,"본 발명의 물류용기 관리 및 사용시스템은 복수업체에 의한 다종류의 물류용기를 사용하는 특정사업장에서 사용할 수 있는 시스템으로서, 사용되는 각각의 물류용기에 그 고유번호를 입력한 바코드(bar code)를 설정하며, 물류용기의 입출고 과정에서 각각의 바코드를 스캐너에 의하여 읽고, 읽혀진 바코드 정보에 따라 물류용기의 관리 및 사용에 관한 필요한 정보가 호스트 컴퓨터에 자동으로 입력되고, 호스트 컴퓨터에 입력된 모든 정보로부터 물류용기의 입출고관리와 로스(loss)관리, 수불관리 등을 함으로써 특정사업장에서 물류용기를 효율적으로 관리 및 보관하고, 복수의 업체에서 편리하게 사용할 수 있도록 한 시스템이다. 본 발명의 시스템에서는 물류용기의 각각에 대하여 물류용기 고유번호(Container I. D.)를 입력한 바코드를 설정한다. 이 발명에서는 일반적으로 바코드가 사용가능하며, 이 바코드에는 각각의 물류용기에 대한 개별 식별이 가능하도록 자산구분, 용기형태, 제조년월, 고유번호 등을 부여한다.",G06Q,G06K,,G09F
1.02001E+12,"본 발명은 물류운송 관리시스템 및 관리방법에 관한 것으로서, 더욱 구체적으로는 화물차량의 위치추적과 양방향 무선 데이터 통신을 이용하여 차량 운행 효율의 극대화를 달성할 수 있는 물류운송 관리시스템 및 관리방법에 관한 것이다. 본 발명은 웹클라이언트로부터 주문사항을 수신하는 웹서버, 상기 주문사항을 기초로 오더를 생성하는 MIS서버, 상기 오더 및 가용차량 정보를 기초로 배차지시사항을 생성하는 관제센터, 및 상기 배차지시사항을 수신하여 이를 무선메시지통신/무선데이터통신서버에 송신하는 통신서버를 포함하여 이루어지고, 상기 무선메시지통신/무선데이터통신서버는 운송수단에 장착된 GPS수신기 및 MDT단말기와 PCS를 이용한 무선메시지통신/무선데이터통신을 하는 것을 특징으로 하는 물류운송 관리시스템을 제공한다. 또한, 본 발명은 물류운송 관리방법을 제공하는데, 본 발명의 물류운송 관리방법은 웹클라이언트로부터 주문사항을 수신하는 단계, 상기 주문사항을 기초로 MIS서버에서 오더를 생성하는 단계, 운송수단으로부터 수신된 GPS 정보를 포함하는 가용차량 정보와 상기 오더를 기초로 배차지시사항을 생성하는 단계, 상기 배차지시사항을 무선메시지통신/무선데이터통신을 이용하여 차량에 장착된 PCS단말기 및 MDT단말기에 송신하는 단계, 상기 배차지시사항 수용을 MDT단말기에 입력하는 단계, 및 상기 배차지시사항 수용 입력 차량을 추적관리하는 단계를 포함한다. ",G01S,,,G08G
1.02008E+12,"본 발명은 사외 배송 물류의 모니터링 방법에 관한 것으로, 그 목적은 사외 배송중인 전체 물류를 실시간으로 확인할 수 있는 모니터링 방법을 제공하는 데 있다.본 발명의 구성은 사외 배송지에서 배송차량에 적재된 원자재정보와 GPS수신기의 식별정보를 전송하는 단계(S100)와; GPS수신기의 작동 스위치를 ON하여 GPS 좌표값을 위치관제시스템으로 전송하는 단계(S110)와; GPS수신기의 식별정보를 위치관제시스템이 인식하고 실시간 감시 시작하는 단계(S120)와; 특정 GPS수신기의 정보를 전자지도에 매칭 후 물류 모니터링 시스템으로 실시간 웹서비스하는 단계(S130)와; 모니터링 시스템에서 GPS 좌표가 매칭된 전자지도에 해당 차량에 적재된 실제 원자재정보를 매칭하여 웹서비스하는 단계(S140)와; 해당 모니터링 시스템과 원격접속된 PC단말기가 접속하여 전자지도를 통해 실시간 배송될 원자재의 배송정보를 확인하는 단계(S150)와; 배송이 완료되면 원자재 배송 차량에 장치된 GPS수신기의 작동 스위치를 OFF하여 GPS 좌표값의 위치관제시스템으로 전송을 차단하는 단계(S160)로 구성된 사외 배송 물류의 모니터링 방법을 기술적 특징으로 한다.물류, 배송, 사외, GPS, 위치추적, 납품",G05D,,,G01K
1.02E+12,"본 발명은 무선통신을 이용하여 제품의 입고에서 출고까지 모든 물류의 흐름을 자동적으로 관리할 수 있는 물류관리 시스템 및 그 방법에 관한 것이다.본 발명의 물류자동화 관리를 위해, 물류관리 단말기를 물품이력관리 메뉴로 선택하고 태그로부터 해당 물품의 위치를 조회하여 이력변경 사항을 입력하며, 상기 입력한 이력변경 사항을 상기 태그에 저장한 후 상기 이력변경사항을 물류관리 컴퓨터로 전송하여 데이터 베이스를 구축하며, 입고 관리메뉴를 선택할 시 입고물품의 내역을 확인하여 입고내역을 상기 물류관리용 단말기로 입력하고, 상기 입력한 입고 내역을 태그로 저장한 후 상기 입고내역을 물류관리 컴퓨터로 전송하여 데이터 베이스를 구축하며, 입출고관리 메뉴로 선택하고, 출고 관리메뉴를 선택할 시 출고 내역을 입력하여 태그로 저장하며, 상기 태그에 상기 출고내역을 저장한 후 상기 출고내역을 물류관리 컴퓨터로 전송하여 데이터 베이스를 구축하고, 상기 물류관리용 단말기를 재고관리 메뉴로 선택하며, 상기 태그로부터 재고데이터를 수신하여 상기 물류관리용 단말기의 메모리에 저장하며, 상기 저장한 재고데이터를 상기 물류관리 컴퓨터로 전송하여 데이터 베이스를 구축하도록 한다.     RF식별 시스템, 물류자동화 관리",G09F,,,G05B
